2026-05-10 17:26:26 | INFO     | app.ingestion.document_loader  | Successfully loaded 11 document chunks from product_pricing.csv
2026-05-10 17:26:26 | INFO     | app.ingestion.document_loader  | Loading file: data\rag_guide.txt (type: .txt)
2026-05-10 17:26:26 | INFO     | app.ingestion.document_loader  | Successfully loaded 1 document chunks from rag_guide.txt
2026-05-10 17:26:26 | INFO     | app.ingestion.document_loader  | Directory load complete. Total documents loaded: 15 from 3 files.
2026-05-10 17:26:26 | INFO     | app.ingestion.chunker          | Splitting 15 documents into chunks...
2026-05-10 17:26:26 | INFO     | app.ingestion.chunker          | Chunking complete: 15 docs → 29 chunks
2026-05-10 17:26:26 | INFO     | app.retrieval.vector_store     | Adding 29 chunks to ChromaDB...
2026-05-10 17:26:32 | INFO     | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2026-05-10 17:26:37 | INFO     | app.embeddings.embedding_manager | Sentence-Transformers embeddings initialized with model 'all-MiniLM-L6-v2'
2026-05-10 17:26:39 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientStartEvent: capture() takes 1 positional argument but 3 were given
2026-05-10 17:26:39 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientCreateCollectionEvent: capture() takes 1 positional argument but 3 were given
2026-05-10 17:26:39 | INFO     | app.retrieval.vector_store     | ChromaDB loaded. Collection 'rag_documents' has 0 existing embeddings.
2026-05-10 17:26:39 | INFO     | app.retrieval.vector_store     | Documents added. Total embeddings in store: 29
2026-05-10 17:26:39 | INFO     | app.utils.pipeline             | Directory ingestion complete: {'files': 3, 'chunks': 29, 'stored': 29}
2026-05-10 17:40:10 | INFO     | app.utils.logging_config       | Logging configured. Level=INFO, File=enabled
2026-05-10 17:40:10 | INFO     | __main__                       | Starting Agentic RAG System...
2026-05-10 17:40:10 | INFO     | app.utils.config               | .env file loaded.
2026-05-10 17:40:10 | INFO     | app.utils.config               | Configuration validated successfully.
2026-05-10 17:40:10 | INFO     | app.utils.pipeline             | Initializing RAG Pipeline components...
2026-05-10 17:40:10 | INFO     | app.ingestion.document_loader  | DocumentLoader initialized.
2026-05-10 17:40:10 | INFO     | app.ingestion.chunker          | TextChunker initialized: chunk_size=800, chunk_overlap=150
2026-05-10 17:40:10 | INFO     | app.embeddings.embedding_manager | EmbeddingManager created with backend='sentence_transformers'
2026-05-10 17:40:10 | INFO     | app.retrieval.vector_store     | VectorStoreManager initialized. Collection: 'rag_documents', Persist dir: 'vectorstore/chroma_db'
2026-05-10 17:40:10 | INFO     | app.retrieval.retriever        | RAGRetriever initialized: k=4, score_threshold=0.3
2026-05-10 17:40:10 | INFO     | app.memory.memory_manager      | MemoryManager initialized with window_size=10
2026-05-10 17:40:10 | INFO     | app.agents.rag_agent           | RAGAgent initialized. Model: gpt-4o-mini, Mode: agent, Temperature: 0.1
2026-05-10 17:40:10 | INFO     | app.utils.pipeline             | RAG Pipeline initialized successfully.
2026-05-10 17:40:17 | INFO     | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2026-05-10 17:40:23 | INFO     | app.embeddings.embedding_manager | Sentence-Transformers embeddings initialized with model 'all-MiniLM-L6-v2'
2026-05-10 17:40:25 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientStartEvent: capture() takes 1 positional argument but 3 were given
2026-05-10 17:40:25 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientCreateCollectionEvent: capture() takes 1 positional argument but 3 were given
2026-05-10 17:40:25 | INFO     | app.retrieval.vector_store     | ChromaDB loaded. Collection 'rag_documents' has 29 existing embeddings.
2026-05-10 17:40:25 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event CollectionGetEvent: capture() takes 1 positional argument but 3 were given
2026-05-10 17:42:21 | INFO     | app.utils.logging_config       | Logging configured. Level=INFO, File=enabled
2026-05-10 17:42:21 | INFO     | __main__                       | Starting Agentic RAG System...
2026-05-10 17:42:21 | INFO     | app.utils.config               | .env file loaded.
2026-05-10 17:42:21 | INFO     | app.utils.config               | Configuration validated successfully.
2026-05-10 17:42:21 | INFO     | app.utils.pipeline             | Initializing RAG Pipeline components...
2026-05-10 17:42:21 | INFO     | app.ingestion.document_loader  | DocumentLoader initialized.
2026-05-10 17:42:21 | INFO     | app.ingestion.chunker          | TextChunker initialized: chunk_size=800, chunk_overlap=150
2026-05-10 17:42:21 | INFO     | app.embeddings.embedding_manager | EmbeddingManager created with backend='sentence_transformers'
2026-05-10 17:42:21 | INFO     | app.retrieval.vector_store     | VectorStoreManager initialized. Collection: 'rag_documents', Persist dir: 'vectorstore/chroma_db'
2026-05-10 17:42:21 | INFO     | app.retrieval.retriever        | RAGRetriever initialized: k=4, score_threshold=0.3
2026-05-10 17:42:21 | INFO     | app.memory.memory_manager      | MemoryManager initialized with window_size=10
2026-05-10 17:42:21 | INFO     | app.agents.rag_agent           | RAGAgent initialized. Model: gpt-4o-mini, Mode: agent, Temperature: 0.1
2026-05-10 17:42:21 | INFO     | app.utils.pipeline             | RAG Pipeline initialized successfully.
2026-05-10 17:42:21 | INFO     | app.agents.rag_agent           | Processing query: 'What is RAG?'
2026-05-10 17:42:21 | INFO     | app.retrieval.retriever        | Retrieving context for query: 'What is RAG?'
2026-05-10 17:42:27 | INFO     | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2026-05-10 17:42:33 | INFO     | app.embeddings.embedding_manager | Sentence-Transformers embeddings initialized with model 'all-MiniLM-L6-v2'
2026-05-10 17:42:34 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientStartEvent: capture() takes 1 positional argument but 3 were given
2026-05-10 17:42:34 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientCreateCollectionEvent: capture() takes 1 positional argument but 3 were given
2026-05-10 17:42:34 | INFO     | app.retrieval.vector_store     | ChromaDB loaded. Collection 'rag_documents' has 29 existing embeddings.
2026-05-10 17:42:34 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event CollectionQueryEvent: capture() takes 1 positional argument but 3 were given
2026-05-10 17:42:34 | INFO     | app.retrieval.vector_store     | Similarity search for 'What is RAG?...' → 1 results (threshold=0.3)
2026-05-10 17:42:34 | INFO     | app.retrieval.retriever        | Retrieved 1 chunks. Top score: 0.363. Sources: ['rag_guide.txt']
2026-05-10 17:42:34 | WARNING  | app.agents.rag_agent           | No OPENAI_API_KEY — attempting local Ollama LLM fallback.
2026-05-10 17:42:34 | INFO     | app.agents.rag_agent           | Ollama LLM (llama3) initialized as fallback.
2026-05-10 17:46:28 | INFO     | app.utils.logging_config       | Logging configured. Level=INFO, File=enabled
2026-05-10 17:46:28 | INFO     | __main__                       | Starting Agentic RAG System...
2026-05-10 17:46:28 | INFO     | app.utils.config               | .env file loaded.
2026-05-10 17:46:28 | INFO     | app.utils.config               | Configuration validated successfully.
2026-05-10 17:46:28 | INFO     | app.utils.pipeline             | Initializing RAG Pipeline components...
2026-05-10 17:46:28 | INFO     | app.ingestion.document_loader  | DocumentLoader initialized.
2026-05-10 17:46:28 | INFO     | app.ingestion.chunker          | TextChunker initialized: chunk_size=800, chunk_overlap=150
2026-05-10 17:46:28 | INFO     | app.embeddings.embedding_manager | EmbeddingManager created with backend='sentence_transformers'
2026-05-10 17:46:28 | INFO     | app.retrieval.vector_store     | VectorStoreManager initialized. Collection: 'rag_documents', Persist dir: 'vectorstore/chroma_db'
2026-05-10 17:46:28 | INFO     | app.retrieval.retriever        | RAGRetriever initialized: k=4, score_threshold=0.3
2026-05-10 17:46:28 | INFO     | app.memory.memory_manager      | MemoryManager initialized with window_size=10
2026-05-10 17:46:28 | INFO     | app.agents.rag_agent           | RAGAgent initialized. Model: gpt-4o-mini, Mode: agent, Temperature: 0.1
2026-05-10 17:46:28 | INFO     | app.utils.pipeline             | RAG Pipeline initialized successfully.
2026-05-10 17:46:28 | INFO     | app.agents.rag_agent           | Processing query: 'What is RAG?'
2026-05-10 17:46:28 | INFO     | app.retrieval.retriever        | Retrieving context for query: 'What is RAG?'
2026-05-10 17:46:35 | INFO     | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2026-05-10 17:46:40 | INFO     | app.embeddings.embedding_manager | Sentence-Transformers embeddings initialized with model 'all-MiniLM-L6-v2'
2026-05-10 17:46:42 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientStartEvent: capture() takes 1 positional argument but 3 were given
2026-05-10 17:46:42 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientCreateCollectionEvent: capture() takes 1 positional argument but 3 were given
2026-05-10 17:46:42 | INFO     | app.retrieval.vector_store     | ChromaDB loaded. Collection 'rag_documents' has 29 existing embeddings.
2026-05-10 17:46:42 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event CollectionQueryEvent: capture() takes 1 positional argument but 3 were given
2026-05-10 17:46:42 | INFO     | app.retrieval.vector_store     | Similarity search for 'What is RAG?...' → 1 results (threshold=0.3)
2026-05-10 17:46:42 | INFO     | app.retrieval.retriever        | Retrieved 1 chunks. Top score: 0.363. Sources: ['rag_guide.txt']
2026-05-10 17:46:42 | WARNING  | app.agents.rag_agent           | No OPENAI_API_KEY — attempting local Ollama LLM fallback.
2026-05-10 17:46:42 | INFO     | app.agents.rag_agent           | Ollama LLM (llama3) initialized as fallback.
2026-05-10 17:49:23 | INFO     | app.utils.logging_config       | Logging configured. Level=INFO, File=enabled
2026-05-10 17:49:23 | INFO     | __main__                       | Starting Agentic RAG System...
2026-05-10 17:49:23 | INFO     | app.utils.config               | .env file loaded.
2026-05-10 17:49:23 | INFO     | app.utils.config               | Configuration validated successfully.
2026-05-10 17:49:23 | INFO     | app.utils.pipeline             | Initializing RAG Pipeline components...
2026-05-10 17:49:23 | INFO     | app.ingestion.document_loader  | DocumentLoader initialized.
2026-05-10 17:49:23 | INFO     | app.ingestion.chunker          | TextChunker initialized: chunk_size=800, chunk_overlap=150
2026-05-10 17:49:23 | INFO     | app.embeddings.embedding_manager | EmbeddingManager created with backend='sentence_transformers'
2026-05-10 17:49:23 | INFO     | app.retrieval.vector_store     | VectorStoreManager initialized. Collection: 'rag_documents', Persist dir: 'vectorstore/chroma_db'
2026-05-10 17:49:23 | INFO     | app.retrieval.retriever        | RAGRetriever initialized: k=4, score_threshold=0.3
2026-05-10 17:49:23 | INFO     | app.memory.memory_manager      | MemoryManager initialized with window_size=10
2026-05-10 17:49:23 | INFO     | app.agents.rag_agent           | RAGAgent initialized. Model: gpt-4o-mini, Mode: agent, Temperature: 0.1
2026-05-10 17:49:23 | INFO     | app.utils.pipeline             | RAG Pipeline initialized successfully.
2026-05-10 17:49:23 | INFO     | app.agents.rag_agent           | Processing query: 'What is RAG?'
2026-05-10 17:49:23 | INFO     | app.retrieval.retriever        | Retrieving context for query: 'What is RAG?'
2026-05-10 17:49:29 | INFO     | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2026-05-10 17:49:34 | INFO     | app.embeddings.embedding_manager | Sentence-Transformers embeddings initialized with model 'all-MiniLM-L6-v2'
2026-05-10 17:49:36 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientStartEvent: capture() takes 1 positional argument but 3 were given
2026-05-10 17:49:36 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientCreateCollectionEvent: capture() takes 1 positional argument but 3 were given
2026-05-10 17:49:36 | INFO     | app.retrieval.vector_store     | ChromaDB loaded. Collection 'rag_documents' has 29 existing embeddings.
2026-05-10 17:49:36 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event CollectionQueryEvent: capture() takes 1 positional argument but 3 were given
